300 1800
252 217 37
62 140 17
227 243 77
147 255 30
209 233 79
104 133 -2
204 46 11
195 12 39
58 126 24
30 72 8
91 267 16
188 101 3
257 47 65
114 51 79
190 146 45
21 280 63
249 99 -1
23 67 83
150 66 34
82 217 77
241 216 66
168 157 5
246 67 8
257 36 40
293 112 39
247 248 26
68 199 73
127 112 56
205 279 52
86 270 30
139 261 79
298 124 50
128 118 61
243 188 78
1 43 89
268 186 57
154 239 91
139 224 31
160 299 90
66 244 90
295 266 21
49 222 12
168 177 82
112 75 2
271 190 11
132 220 54
171 219 31
97 268 30
28 49 60
55 32 38
244 253 29
158 206 10
182 231 32
172 120 84
252 232 93
195 210 39
153 93 26
209 7 52
243 251 79
254 297 40
106 228 69
56 295 90
67 30 0
169 148 77
200 208 25
46 88 51
107 179 30
187 23 44
115 166 2
47 93 19
146 35 44
115 195 31
6 34 85
76 258 78
204 265 74
201 39 39
190 202 6
42 116 67
290 278 78
22 250 34
39 194 3
199 94 72
226 158 6
251 250 77
82 165 70
95 222 0
210 155 2
121 221 62
286 237 67
253 216 10
245 188 50
132 85 32
276 210 80
149 194 75
240 55 28
87 127 74
51 135 58
246 35 80
239 252 31
265 193 29
141 10 10
100 275 6
163 23 55
224 294 30
180 174 48
110 113 68
98 107 -1
79 98 43
298 291 35
194 116 89
69 79 -1
286 173 3
79 233 58
82 217 -2
161 263 51
54 149 40
162 145 53
55 207 83
135 124 63
98 167 78
43 226 4
93 255 67
154 7 61
148 109 32
178 280 34
4 298 62
154 107 19
195 233 60
256 252 28
227 159 10
137 69 4
262 283 19
124 62 58
262 159 34
211 138 70
39 195 2
18 238 93
120 213 17
257 274 -5
207 211 85
66 164 74
223 83 51
298 247 6
176 173 29
51 146 58
92 278 45
47 17 77
225 210 10
100 163 -2
214 195 16
132 219 78
279 205 39
78 151 6
264 125 89
268 68 4
29 115 60
266 133 71
65 30 4
29 124 85
265 154 50
126 169 93
204 17 86
151 160 38
122 56 65
199 72 73
110 144 70
92 158 62
12 237 83
173 204 80
101 227 51
229 162 15
161 67 21
94 126 -4
124 104 53
225 87 -5
85 94 6
12 39 6
131 69 22
185 281 35
39 80 85
109 258 53
28 151 53
240 186 8
260 239 6
7 160 21
254 1 18
207 198 12
173 35 85
168 45 21
276 173 0
57 47 57
97 67 31
169 107 -4
278 148 36
29 158 57
160 260 17
5 241 67
128 61 49
25 192 26
195 98 79
103 195 12
128 240 74
291 90 40
49 145 78
89 289 46
0 256 80
195 92 33
108 39 54
77 130 4
123 242 74
145 175 80
27 233 59
130 37 74
143 140 35
125 57 63
149 77 33
216 94 4
74 130 -2
223 183 72
261 29 39
99 31 50
183 194 15
42 165 23
183 270 23
19 152 86
68 39 58
262 271 52
61 155 53
164 211 30
56 38 35
131 41 79
280 284 36
223 291 -3
21 33 87
47 295 6
54 11 -4
29 237 89
119 215 73
15 158 14
125 127 84
42 276 76
32 267 43
261 161 79
181 299 41
67 139 78
128 232 91
228 181 45
251 294 13
103 46 84
249 14 43
199 67 79
25 226 -2
151 10 87
165 248 40
83 229 86
122 286 35
233 66 12
60 66 76
281 49 12
247 265 12
69 48 87
121 142 3
261 23 91
93 256 6
184 236 75
74 270 87
242 193 2
103 172 1
173 87 63
259 124 88
43 96 75
0 290 51
205 184 55
135 243 22
242 190 59
106 156 39
239 29 45
129 2 55
267 203 11
77 165 7
69 39 69
299 207 33
288 231 43
250 217 44
54 167 32
110 75 61
24 44 16
281 167 63
137 256 90
154 73 47
55 33 -5
102 64 44
87 49 29
217 145 65
49 171 66
161 181 27
74 176 35
166 34 31
163 28 0
296 241 35
134 10 74
65 268 16
56 64 82
89 157 8
253 103 67
246 197 63
11 291 12
198 252 77
90 86 52
135 158 58
111 289 81
108 103 39
82 253 48
22 118 5
192 36 66
166 26 5
112 154 18
287 223 0
40 276 46
199 22 7
279 186 57
193 241 14
279 174 40
134 28 19
278 80 -2
60 272 69
23 79 47
266 275 32
117 231 91
295 235 66
45 124 -4
89 286 91
87 137 89
268 155 70
98 282 21
119 11 43
164 172 58
40 9 75
161 271 49
164 208 80
192 142 58
182 192 86
238 17 63
199 172 36
14 96 44
204 227 50
11 68 6
