300 1800
199 44 59
294 66 39
164 299 38
189 243 74
148 76 43
113 24 36
155 69 76
150 297 57
151 249 53
248 69 38
282 199 74
132 65 61
284 164 83
178 94 32
78 120 63
80 239 5
4 66 76
151 160 54
96 33 3
202 112 6
69 232 26
149 124 26
76 175 80
47 280 2
227 204 42
255 245 42
63 142 71
187 246 39
52 288 53
229 65 38
258 39 63
22 283 47
38 127 59
161 189 39
280 282 84
177 239 43
299 93 3
205 210 79
234 276 45
42 109 63
118 218 24
183 294 13
54 48 69
50 126 68
66 268 7
211 210 17
205 208 89
39 74 94
92 217 5
40 266 16
54 35 43
98 299 58
158 35 83
80 103 54
213 38 17
118 187 48
105 70 61
246 289 -4
169 136 88
226 229 38
43 56 56
138 142 25
259 280 72
254 64 57
140 201 85
36 261 10
59 250 58
260 53 41
120 106 -1
219 168 59
212 62 17
200 42 88
31 12 5
196 234 -3
64 212 30
226 275 43
201 115 45
51 198 29
274 236 24
99 225 56
244 241 89
207 239 63
241 243 32
211 282 41
106 136 53
67 124 20
255 281 63
32 250 6
276 299 21
5 54 50
23 78 45
66 172 91
73 149 81
129 68 94
31 139 24
180 256 57
253 117 22
15 138 36
81 113 62
279 192 27
147 219 56
169 127 42
240 89 36
294 193 30
282 140 91
193 7 40
264 79 14
276 177 61
109 116 31
208 257 5
16 21 81
78 284 75
120 184 76
84 271 39
25 17 7
38 97 86
183 35 54
52 19 88
85 227 65
234 243 36
145 284 14
21 57 88
208 237 62
14 264 6
20 230 89
39 44 78
281 110 30
125 66 -1
76 50 24
212 250 65
48 252 84
53 175 47
15 273 68
270 271 35
161 51 -4
108 147 29
276 277 54
255 101 58
153 186 43
112 24 92
24 101 24
196 189 24
51 168 72
83 88 75
180 110 37
238 292 46
128 253 28
71 18 70
200 94 12
57 271 83
236 274 88
172 291 9
108 195 88
181 95 13
17 70 57
256 71 61
68 235 32
288 175 21
153 214 40
297 273 16
172 37 -3
231 221 78
175 115 41
39 154 10
103 122 68
130 295 -4
107 296 28
165 114 34
18 93 76
139 39 90
166 6 94
120 201 42
159 81 44
50 63 25
109 293 67
19 120 40
217 158 61
299 146 64
286 234 70
117 48 74
139 112 35
17 24 14
294 171 35
256 289 2
183 96 -3
36 24 43
18 44 81
234 65 43
143 75 73
58 212 56
172 206 75
91 143 32
223 197 46
286 211 5
111 270 57
288 150 71
252 235 74
182 288 5
150 51 0
159 146 37
258 154 23
184 51 77
299 194 63
240 86 81
117 152 61
263 188 17
152 184 30
30 214 42
9 225 26
64 296 88
114 122 76
147 173 79
291 127 74
208 127 7
74 160 16
155 219 94
45 270 3
57 101 74
249 87 82
247 64 49
279 113 65
234 157 67
166 242 36
27 76 30
36 209 71
39 16 24
186 64 92
221 130 69
99 216 36
238 292 28
295 18 25
78 185 89
270 194 74
76 20 10
18 135 22
76 111 72
38 283 66
156 241 86
115 153 36
234 257 44
78 82 77
171 107 45
192 110 32
0 88 31
85 37 55
161 28 64
19 11 53
225 201 73
191 255 1
223 290 24
296 210 63
287 156 41
167 71 14
183 180 57
22 166 27
54 4 34
232 74 71
264 176 14
118 46 15
125 187 18
39 177 32
291 117 54
294 231 48
258 202 74
20 265 79
12 36 53
276 299 48
30 3 0
109 228 55
140 73 61
95 27 94
274 225 6
287 22 10
94 166 83
84 204 5
69 34 75
21 192 20
140 188 5
126 122 56
2 299 0
268 29 8
136 75 63
128 198 68
73 219 57
17 163 5
145 244 75
92 290 67
250 147 21
105 100 23
83 143 63
29 31 33
38 253 8
298 102 33
160 278 38
98 83 6
208 156 49
263 161 42
84 125 14
65 42 16
235 54 74
283 105 3
268 24 53
191 4 0
246 134 36
292 108 -5
195 43 2
90 15 23
141 294 75
299 206 44
162 226 35
202 146 81
167 286 74
164 92 15
250 15 41
61 258 73
181 158 3
155 51 71
93 277 73
225 78 14
9 225 91
137 23 78
266 224 51
100 0 67
69 283 69
209 248 38
198 144 37
167 227 90
50 169 62
236 120 4
119 56 17
138 34 2
222 145 0
120 189 4
151 218 59
280 126 34
162 76 19
234 278 79
215 224 42
142 148 30
297 293 74
187 78 94
14 150 10
285 60 34
142 140 71
204 10 67
235 276 20
64 26 3
141 288 92
238 277 90
130 28 87
173 174 42
290 186 54
280 66 56
230 0 18
160 96 71
286 177 27
256 81 1
224 90 19
227 17 79
222 28 67
278 226 36
123 61 7
277 214 58
237 104 11
200 4 77
146 244 39
193 30 67
139 215 19
244 146 4
174 246 59
208 126 43
117 118 34
24 5 80
21 193 6
171 294 61
221 90 8
39 81 -5
65 228 35
263 135 17
63 222 12
269 109 15
221 200 64
283 182 0
140 42 33
264 153 39
39 59 1
192 179 67
172 28 43
263 99 45
182 60 43
39 62 48
263 20 18
97 124 47
163 295 22
56 131 69
33 146 51
10 82 90
47 233 68
231 136 13
151 71 51
262 16 50
180 185 2
200 282 17
201 286 38
235 97 37
186 281 54
217 109 11
119 252 61
185 73 47
157 296 87
8 257 47
196 259 47
246 97 67
205 197 72
84 181 79
10 269 77
283 150 76
69 101 74
203 206 7
11 204 93
129 145 38
241 130 38
253 38 46
101 255 75
169 146 37
38 123 60
173 267 50
222 263 0
52 260 55
133 197 3
98 12 90
244 217 3
105 293 78
165 120 62
190 55 85
32 124 13
252 87 85
278 0 83
2 241 16
72 150 16
218 195 17
131 167 86
165 74 2
203 25 85
127 214 88
238 72 85
243 121 41
209 167 36
272 39 14
260 281 35
255 16 9
129 132 77
32 7 72
44 189 32
137 225 65
224 156 33
30 76 17
286 93 80
174 122 49
43 4 18
272 200 -4
141 165 24
37 90 38
96 103 -4
35 293 72
77 189 90
170 293 5
31 57 93
66 156 -4
51 10 48
3 177 44
296 197 52
215 67 43
263 187 70
24 33 1
133 104 14
205 149 44
165 147 57
257 116 76
182 124 57
284 8 35
144 245 19
130 14 23
176 209 15
170 54 14
16 160 20
26 162 72
144 35 88
149 209 83
237 45 34
69 47 86
93 229 33
163 108 5
241 256 6
64 242 35
21 154 9
154 12 19
208 14 -4
40 257 23
225 149 76
183 231 21
12 145 94
276 115 26
39 143 2
143 129 45
29 182 17
51 159 60
46 153 65
247 33 77
290 152 36
137 35 57
10 157 77
113 255 3
52 23 90
46 187 20
217 198 79
20 244 46
4 191 75
209 155 24
26 99 17
193 38 61
53 287 6
180 222 34
80 273 48
236 55 14
221 226 90
252 128 56
147 146 94
30 237 72
9 188 40
69 198 35
267 262 87
297 60 30
170 219 17
124 46 60
18 249 80
110 16 24
212 157 41
92 270 31
90 275 0
83 69 25
51 59 48
112 107 32
27 96 3
253 142 47
50 59 12
298 227 48
191 224 17
237 211 63
92 147 4
33 23 54
20 142 23
83 67 80
248 274 53
173 7 -4
131 25 73
125 5 87
232 192 -4
193 187 60
232 247 56
197 229 30
254 263 60
39 277 83
33 267 38
237 167 10
24 211 61
103 121 68
220 116 1
145 1 15
30 76 25
213 285 -5
280 79 30
119 88 86
58 286 27
21 94 61
87 98 88
207 93 22
108 103 62
13 39 32
155 42 92
23 77 49
161 211 17
195 37 -5
80 147 79
126 115 38
267 215 33
26 99 37
27 132 2
292 110 56
218 24 47
126 113 12
293 186 10
109 187 49
237 54 65
83 97 49
250 158 73
271 112 81
87 162 49
170 238 -2
101 34 82
255 116 47
10 218 37
56 137 23
180 25 26
188 23 42
287 27 25
153 241 87
261 255 75
192 78 25
292 221 2
181 158 27
141 1 90
176 116 84
78 131 44
295 202 62
189 194 80
194 11 7
94 138 0
141 158 35
39 95 49
30 138 73
112 20 24
243 249 7
127 45 77
141 232 83
24 250 56
269 187 64
123 31 36
230 112 63
161 187 21
61 279 92
149 265 46
152 136 76
227 265 2
180 101 75
152 272 -3
86 251 35
5 125 74
52 12 12
216 153 74
235 37 83
139 215 88
137 114 28
88 274 60
99 169 67
147 202 74
23 231 -2
227 59 42
6 143 76
227 190 27
191 261 40
253 289 14
229 123 36
56 228 13
298 172 0
129 37 5
272 242 28
187 29 1
261 237 59
28 208 43
81 69 28
126 52 10
93 65 -1
159 231 59
42 46 61
111 279 3
138 237 61
32 69 88
297 160 27
269 107 23
235 230 3
135 129 79
132 103 48
55 118 -4
203 56 53
132 51 40
122 158 69
248 211 53
122 163 21
162 139 72
281 9 2
18 129 53
162 152 37
211 181 1
0 184 8
2 208 75
193 115 38
55 257 86
255 131 56
81 186 91
62 275 36
266 151 58
265 229 67
35 38 44
244 101 17
282 62 7
201 95 71
157 144 65
135 206 65
31 226 71
267 222 44
98 224 27
17 254 -5
166 219 46
35 280 6
165 176 32
49 292 23
148 167 29
278 60 35
197 77 85
244 48 78
171 76 44
40 165 93
114 14 22
292 294 40
100 94 20
190 70 16
224 158 46
110 210 -4
157 25 43
228 276 -1
260 156 27
271 6 36
247 226 39
31 20 4
126 173 37
108 214 51
216 260 10
22 25 82
79 120 -4
256 163 57
198 110 28
291 21 78
180 97 -3
92 291 14
115 192 28
30 133 33
179 289 72
217 213 12
173 44 21
205 263 6
118 183 2
149 242 23
2 291 29
27 208 80
24 158 9
204 42 27
93 288 57
87 107 4
57 22 10
73 61 22
237 233 8
92 20 61
219 67 70
230 126 7
171 72 17
131 27 4
196 172 90
21 135 27
219 274 20
269 112 51
280 133 60
174 80 91
191 33 57
188 267 61
175 222 57
227 214 59
171 79 4
73 50 73
283 238 72
230 28 22
58 27 81
141 55 5
183 179 53
253 244 54
263 243 16
29 161 54
148 139 76
294 64 71
70 267 9
195 188 10
50 247 15
39 208 40
213 134 25
134 229 10
184 196 50
23 20 7
41 47 42
113 204 70
0 148 86
39 275 -5
57 139 26
217 171 42
213 34 12
228 178 71
294 38 14
194 199 54
7 43 76
157 199 10
287 8 90
18 226 46
298 197 19
113 98 21
240 204 17
293 277 13
101 258 30
260 80 6
106 292 63
23 189 81
250 227 10
263 264 55
138 51 51
250 269 93
293 134 63
61 126 55
63 191 43
115 159 14
25 1 53
193 158 58
298 273 44
126 40 -2
83 33 34
194 289 58
104 172 34
68 94 87
290 100 66
259 208 55
30 271 17
18 229 77
145 115 62
39 270 79
209 176 63
62 254 -4
96 192 15
28 16 3
279 19 69
57 231 81
27 160 56
277 0 3
228 143 92
152 104 51
281 225 63
154 215 89
113 271 89
168 191 82
12 202 41
150 277 61
125 296 22
71 215 32
86 88 37
292 138 48
257 24 76
24 187 53
71 286 5
114 42 32
111 20 82
75 207 41
259 229 49
66 174 49
280 267 8
198 165 72
244 11 14
242 207 74
103 74 93
172 145 67
201 222 -5
171 130 58
66 19 88
217 226 81
105 124 24
30 21 81
51 163 75
21 293 89
274 33 23
164 267 54
216 53 65
10 152 63
195 37 -5
121 15 84
237 202 40
5 60 38
177 284 20
181 104 87
235 158 58
277 285 -2
254 240 4
230 294 45
277 183 10
21 219 70
76 19 65
241 84 29
39 241 24
156 70 -2
213 271 40
44 141 3
200 131 62
18 291 22
136 227 51
293 270 26
254 90 51
197 134 90
256 219 93
122 142 32
96 149 78
250 148 -4
157 47 22
60 115 5
243 276 60
147 285 71
240 57 61
54 100 59
133 113 11
286 243 94
112 97 12
175 10 93
15 204 90
172 227 6
64 191 83
264 260 54
276 218 73
80 1 69
280 276 6
285 71 81
36 283 45
186 142 4
123 150 66
62 33 23
35 154 34
201 18 63
186 127 48
102 282 69
158 211 78
269 292 40
67 100 63
172 21 73
19 248 43
238 2 50
230 23 16
267 152 92
229 99 90
186 207 -1
29 242 80
72 14 86
179 51 54
250 100 2
32 171 11
58 126 74
246 286 91
169 299 8
87 18 37
38 10 53
191 284 26
233 170 69
132 270 60
145 166 74
207 67 23
238 128 48
153 105 69
16 55 53
226 276 3
249 259 60
31 246 16
63 205 61
282 21 5
38 142 93
94 136 48
153 292 6
37 148 57
34 275 64
249 274 37
16 268 32
255 95 2
242 220 50
177 149 19
229 11 -2
222 159 25
208 290 8
105 131 43
59 167 52
155 116 42
4 218 88
193 170 10
13 110 0
182 250 32
31 37 80
40 32 55
270 82 67
102 223 93
195 20 29
78 203 59
30 195 69
280 48 23
205 217 78
247 64 0
139 291 94
195 42 20
171 289 55
30 223 81
134 72 33
80 10 48
118 126 57
93 126 81
47 298 80
280 233 26
284 206 13
5 234 71
299 112 25
13 22 48
297 101 1
119 175 22
209 74 29
31 254 51
297 197 3
125 51 63
78 113 50
212 275 36
243 12 20
52 54 35
59 197 34
72 41 89
202 226 68
131 273 72
104 221 67
96 270 70
54 198 21
146 250 8
34 49 30
213 116 74
56 246 54
1 265 5
29 297 57
29 221 89
190 219 27
35 73 32
93 202 65
188 7 44
9 15 23
95 61 24
231 153 45
222 258 64
145 287 90
53 5 51
101 125 1
298 247 74
253 102 8
268 284 48
27 3 23
291 192 32
173 275 78
43 233 44
20 101 64
127 74 9
265 26 12
70 243 24
65 220 59
296 74 66
55 142 69
7 31 76
25 106 35
159 100 40
257 215 89
161 1 81
31 83 30
181 2 15
217 100 9
127 74 82
9 201 47
297 38 49
257 189 72
105 205 -3
73 82 77
288 6 20
127 129 33
84 112 30
2 286 49
255 97 22
207 290 0
28 294 12
209 219 63
146 151 -5
40 175 10
15 91 94
70 241 1
223 126 -2
82 8 22
174 93 13
123 249 81
143 110 41
81 162 66
275 27 48
40 50 21
186 70 78
294 149 80
238 135 76
248 253 85
182 104 6
135 254 86
9 165 23
232 249 37
124 114 12
37 134 53
183 167 6
189 171 89
183 107 77
184 21 6
184 128 78
125 153 93
78 75 12
238 190 22
239 37 11
228 54 14
41 283 81
93 95 24
190 42 49
88 190 56
237 133 51
19 272 93
72 166 46
172 244 86
297 271 30
44 181 76
178 290 -3
229 53 93
37 242 40
271 285 12
150 217 28
264 8 76
109 195 22
126 263 16
132 250 79
37 13 28
188 239 79
164 32 65
75 70 93
199 115 25
278 104 73
288 239 11
93 113 53
65 20 69
20 148 53
60 264 38
136 164 74
279 25 89
128 269 75
136 240 0
261 181 89
127 191 94
89 287 49
26 83 57
226 51 49
98 57 0
109 55 33
4 208 83
68 100 21
235 156 63
297 244 53
85 229 76
71 229 37
114 68 49
23 28 72
180 135 65
93 58 86
172 14 44
87 84 32
42 98 93
143 107 15
227 255 93
191 70 90
154 34 31
87 139 22
22 53 4
129 293 22
184 206 5
288 236 5
76 97 3
219 207 36
28 294 42
247 120 51
162 296 38
122 95 81
154 187 75
126 195 66
171 55 77
101 57 91
284 255 39
236 105 49
55 190 39
201 108 26
223 155 85
296 176 92
220 65 58
202 222 67
233 269 -5
232 39 88
46 10 4
41 207 76
55 75 56
226 182 86
105 131 9
141 260 76
31 247 14
265 154 49
65 35 43
64 111 42
155 74 30
62 20 75
234 69 7
158 29 40
262 248 70
202 71 25
6 125 38
1 103 57
103 221 90
99 107 90
44 75 40
220 170 43
253 185 39
243 98 86
99 11 48
122 106 39
196 242 49
274 65 44
109 259 85
48 62 64
163 254 80
209 219 86
82 224 57
147 247 7
123 225 74
248 206 -2
297 162 2
8 138 21
3 257 15
88 267 22
65 159 62
86 84 87
159 170 74
246 122 1
204 283 43
129 138 35
94 150 0
224 242 52
262 63 67
150 17 81
293 100 37
99 117 41
17 194 -3
297 290 17
214 178 36
246 99 33
280 212 23
125 265 57
101 112 82
113 263 71
241 138 30
87 154 27
241 102 83
245 75 35
260 224 91
51 290 50
111 117 89
128 151 9
250 244 31
241 160 76
153 25 39
241 161 62
151 105 21
241 140 65
293 281 55
123 119 79
1 80 63
118 283 66
17 240 13
90 25 33
285 189 49
19 12 40
91 2 37
138 38 26
269 146 42
179 166 7
87 208 29
188 223 -4
196 293 49
123 42 24
274 146 48
84 239 78
176 88 32
94 205 91
19 151 23
37 226 -4
122 90 4
40 94 92
20 82 6
272 164 69
177 116 72
200 34 73
187 16 88
208 230 89
237 295 0
118 173 45
226 189 48
146 180 75
113 258 94
126 93 53
189 198 11
249 103 2
167 156 53
235 150 61
280 198 30
273 126 51
291 39 42
38 229 70
156 236 41
182 216 70
219 39 91
10 26 2
51 124 3
181 260 55
124 82 60
166 261 80
208 276 53
179 237 0
163 209 21
243 1 14
186 207 74
158 1 66
212 229 -2
0 180 89
190 234 53
108 173 81
45 20 5
103 51 40
183 224 -1
257 20 41
207 71 85
277 95 94
221 109 40
101 93 59
169 54 69
258 221 75
22 18 8
96 0 79
118 179 89
29 254 33
184 76 27
108 196 24
205 75 38
188 26 28
22 14 17
213 271 87
245 69 61
171 251 60
279 237 5
23 178 10
202 21 33
150 287 15
92 43 18
241 235 58
158 255 81
64 207 39
86 128 35
241 198 3
101 105 29
196 92 29
